date,price,last_update
2026-04-01,2.139,2026-04-01T10:24:42+02:00
2026-04-02,2.129,2026-04-01T22:02:08+02:00
2026-04-03,2.159,2026-04-03T09:26:34+02:00
2026-04-04,2.169,2026-04-04T08:51:32+02:00
2026-04-05,2.139,2026-04-04T22:29:07+02:00
