"hour","price"
0,-0.31
1,-0.24
2,-0.24
3,-0.24
4,-0.24
5,-0.24
6,0.1
7,0.27
8,0.28
9,0.27
10,0.3
11,0.12
12,-0.31
13,0.08
14,0.1
15,0.02
16,0.19
17,0.24
18,0.22
19,-0.29
20,0.04
21,0.22
22,-0.11
23,-0.25
