station_count,mean,std,median,q05,q25,q75,q95,skew,kurtosis_excess,normal_mu,normal_sigma,shifted_lognormal_shift,shifted_lognormal_mu,shifted_lognormal_sigma,operator_group
5528,2.330959,0.065058,2.329000,2.239000,2.289000,2.360250,2.439000,1.731400,10.475605,2.330959,0.065052,2.108000,-1.541076,0.291721,MISC
2112,2.353380,0.068885,2.339000,2.309000,2.319000,2.359000,2.429000,4.230952,19.964790,2.353380,0.068869,2.298000,-3.351647,1.078909,ARAL
1621,2.370055,0.083612,2.349000,2.349000,2.349000,2.349000,2.639000,3.916511,13.889804,2.370055,0.083587,2.238000,-2.113900,0.357022,SHELL
1134,2.369758,0.068329,2.369000,2.289000,2.339000,2.389000,2.439000,3.393682,17.867069,2.369758,0.068298,2.208000,-1.893296,0.401118,ESSO
734,2.329586,0.064764,2.309000,2.279000,2.299000,2.339000,2.419000,3.838421,18.817038,2.329586,0.064720,2.238000,-2.540966,0.544750,TOTALENERGIES
684,2.327699,0.031263,2.329000,2.279000,2.309000,2.349000,2.377500,0.187630,0.769589,2.327699,0.031240,2.238000,-2.493008,0.474089,JET
601,2.318632,0.058223,2.319000,2.229000,2.279000,2.349000,2.399000,1.125633,5.669084,2.318632,0.058174,2.188000,-2.147940,0.522983,AVIA
480,2.311500,0.035155,2.309000,2.259000,2.289000,2.339000,2.369500,-0.127453,0.438176,2.311500,0.035119,2.198000,-2.245895,0.450666,STAR
471,2.375168,0.117164,2.349000,2.299000,2.314000,2.369000,2.729000,2.393626,4.494839,2.375168,0.117040,2.278000,-2.794383,0.942528,AGIP ENI
392,2.358362,0.030726,2.349000,2.319000,2.339000,2.369000,2.409000,1.044042,2.477150,2.358362,0.030687,2.288000,-2.766815,0.549706,HEM
