operator,station_count
UNBEKANNT,339
BFT,339
RAIFFEISEN,298
OIL!,194
SB,187
CLASSIC,173
FREIE TANKSTELLE,172
AVIA XPRESS,172
WESTFALEN,152
SUPERMARKT-TANKSTELLE,119
Q1,110
ED,98
SPRINT,96
ORLEN,91
HOYER,83
ELAN,75
NORDOEL,68
BFT - WALTHER,66
TEAM,66
ACCESS,64
MARKANT,60
TOTALENERGIES AUTOHOF,53
SCORE,52
GLOBUS SB WARENHAUS,51
BAYWA,50
TANKCENTER,45
T,39
CALPAM,39
TANKPOINT,37
TOTALENERGIES TRUCKSTOP,36
RAN,34
V-MARKT,34
TANKSTELLE,32
ROTH- ENERGIE,31
BFT-WILLER,31
FREIE,30
TOPTANK,29
PM,29
GREENLINE,29
BAVARIA PETROL,27
SUPERMARKT,27
VR PLUS ENERGIE,24
TAS,24
FAMILA,24
AVEX,23
HEINRICH ALBERS OHG,23
MTB,23
ZG RAIFFEISEN ENERGIE,22
ALLGUTH,22
MARKANT (TANKAUTOMAT),21
FREI,20
GULF,20
MARKTKAUF,19
ORLEN EXPRESS,19
OIL! (AUTOMATENSTATION),19
MARKENFREIE TS,18
BELL OIL,18
JANTZON TANKSTELLE,18
BK,17
ELO,17
PIN SERVICE-STATION,17
LEO,16
SUPOL,16
HERM,16
MUNDORF TANK,16
FELTA,16
MR. WASH AUTOSERVICE AG,15
HONSEL,14
PLUDRA,14
JOISS,14
SB-MARKTTANKSTELLE,13
HESSOL,12
TAMOIL,12
EDEKA,12
TOTAL,12
E-CENTER,11
KAUFLAND,11
EC TANKSTELLE ROLFES,11
CLEANCAR,11
KUSTER ENERGY,11
SEITZ MARTIN TANKSTELLEN,11
KNIES+LAGOTKA,11
MINERA,11
MENGIN,10
M1,10
WINKLER 24H,10
BERGLER,10
RATIO,10
BURGER 24H,10
TINQ,10
A ENERGIE,10
RAIFFEISEN GROSS LESSEN-DIEPHOLZ,9
TANKSTELLE GRÜNE,9
BMÖ,9
E CENTER,9
RAIFFEISEN-LANDBUND EG,9
HOYER ENERGY DIRECT,9
TRAMIN,9
GREBE,8
WIRO,8
AGIP,8
PINOIL,8
ENI,8
FENEBERG,8
SB TANKSTELLE,7
PM XPRESS,7
SCHUSTER & SOHN KG,7
GO,7
LENZ ENERGIE,7
DELTIN,7
BFT-TANKSTELLE,7
SVG-NORDRHEIN EG,7
W. DORST,7
WALTHER AUTOMATENSTATION,7
SUNOIL,6
BFT-STATION,6
24H TANKAUTOMAT ALBERS,6
EDI,6
OKTAN,6
WIKING,6
GS DIE GENOSSENSCHAFT EG,5
Q1 AUTOMATEN-TANKSTELLE,5
BFT TANKSTELLE,5
LBD TANKSTELLE,5
RAKELBUSCH,5
AHR,5
CARDTANK 24,5
FRÜHMESSER GMBH,5
CITTI,5
RAIFFEISEN MITTE,5
WINKLER,5
SB-TANKEN,5
HEMPELMANN,5
LEU ENERGIE,4
CALPAM EXPRESS,4
C&S MINERALÖLHANDEL,4
BLITZ-TANK,4
SB MARKT,4
TANKHOF GRÜN,4
BREINTNER,4
AHLERT JUNIOR,4
RAIFFEISEN HUNSRÜCK,4
EDI HOHENLOHE,4
RAIFFEISEN MANSFELD,4
JUNG,4
SWE SÜDWESTENERGIE GMBH,4
TTM MEIWES,4
SIT,4
RAIFFEISEN TANKSTELLE,4
SB-TANK AM HIT (MUNDORF TANK),4
BUDGET OIL,4
SPREVES,4
AUTOL,3
WEST-TANK,3
SVG,3
TRIGEMA,3
BEHRENSWERTH,3
MU MALLASCH & UHLEN,3
BFT (HEIMBURGER),3
RAIFFEISEN HATTEN EG,3
ADAP TANKSTELLE,3
RAIFFEISEN-WARENGENOSSENSCHAFT BUTJADINGEN-SEEFELD EG,3
TUCHT,3
KÖHN & PLAMBECK,3
ECO TANKSTATION,3
GASOLIN,3
REIBERT,3
HIT (SUPERMARKT TS),3
SB AUTOMATENSTATION,3
PM XPRESS 24,3
PICKELMANN,3
SCHONHOFF MINERALÖLE,3
ELF,3
TAP,3
BFT-TANKSTATION,3
MINOL,3
FELSCH MINERALÖL,2
AMB,2
C+C MARKT,2
FREIE TS,2
