threshold_lt,misc_brand_count,misc_station_count,share_of_active_stations
10,602,997,0.07247219597295922
20,641,1525,0.11085265682925056
30,657,1912,0.13898379007050957
40,667,2255,0.16391655157374427
50,668,2300,0.16718761357854184
75,677,2830,0.20571345496837973
100,682,3273,0.23791524314894236
