operator,station_count
PFEFFER,2
TANKDISCOUNT24,2
EKTRA,2
KATTNER'S FREIE TANKSTELLE GMBH,2
RUMAG ENERGY - AUTOMATENTANKSTELLE,2
WEVAG,2
MARKTTANKSTELLE,2
AMB,2
HAISCH TANKCENTER,2
SCHWAIGER FREIE TANKSTELLE,2
FREIE TANKSTELLE UNION TANKHOF,1
FREIE TANKSTELLE LAUFER,1
BFT TANKSTELLE EMIR,1
TANKSTELLE REURIK,1
GERLINGER WEIKERSHEIM,1
RZ ZEISLMEIER GMBH,1
FREIE TANKSTELLE AH HOLSTE,1
TANKHOF RIEGEL FREIE TANKST.,1
RAIFFEISEN TANKSTELLE EC 24/7,1
FREIE TANKSTELLE WITZEL,1
NORDOEL TANKAUTOMAT,1
PROFI-T,1
AUTOHOF FRECHEN (MUNDORF TANK),1
TANKSTELLE NUSPLINGEN,1
EP TANKSTELLE,1
FREIE TANKSTELLE HEROLD,1
AUTOHAUS HACKMANN,1
BREIPOHL,1
SB TANKSTELLE WALLNER,1
G.OVERHOFF GMBH,1
MTB AUTOMATENTANKSTELLE FELLBACH,1
NEEB TANK,1
KESSEL BFT-TANKHOF,1
TANK & WASCH UDO ROSCH,1
ATR AUTOMOBILE GMBH,1
TANKSTELLE CASPAR LAUTERTAL,1
TANKSTELLE BARTHMANN,1
FT MANGOLD,1
BMÖ XPRESS,1
FREIE TANKSTELLE VORRINK,1
R. TESCHE GMBH,1
MEURER FREIE TANKSTELLE,1
KIRSCHBAUM,1
GILLET,1
FREIE TANKSTELLE LODER,1
FREIE TANKSTELLE BRÜNING GMBH,1
AUTOHAUS FRITZ PIEPER,1
FREIE TANKSTELLE KRENN,1
SEEL MINERALÖLE,1
TANKSTELLE PETER,1
BFT BAHRENDORF,1
"E-CENTER, ROSSNAGEL",1
BFT KRÜGER HODENHAGEN,1
RUBART,1
E+C,1
FREIE TANKSTELLE HARTMANN,1
GOHDE,1
EDEKA SENG,1
AUTOHAUS SCHIMMEL E.K.,1
LEINS AUTOMATENTANKSTELLE,1
EBERHARDT (DIEDELSHEIM),1
ULTSCH-TANKSTELLE BAMBERG,1
AUTOHAUS BRAUN,1
FREIE TANKSTELLE AH MEYER,1
FREIE TANKSTELLE SCHWÄGERL-BÄDE,1
"AM PRÜFGELÄNDE, TANKSTELLE",1
NIBELUNGENTANKSTELLE,1
KRETZLER TANKSTELLE 24H,1
BFT TANKSTELLE KURNAZ,1
FREIE TANKSTELLE PUTBUS,1
AUTOHAUS SCHEUERER GMBH,1
TANKSTELLE KLAUS MAIER,1
MTB-TANKSTELLE AH SCHLECHT,1
CE STATION,1
TANK & WASCHCENTER ROHSIEPE,1
LANZINGER TANKE ASL,1
FROMMANN ENERGIE,1
BFT H. GR. HÖÖTMANN TANKSTELLEN GMBH,1
LS&WD HANDELS-GMBH TANKSTELLE,1
BFT TANKSTELLE MEYER,1
BFT ZUM BOXENSTOP,1
ARNS TANKSTATION BEVERGER,1
ZAHRADNIK,1
