operator,station_count
BFT PICKELMANN,1
TANKHOF SAUERLACH,1
HAVELLAND AGRAR EG WESERAM,1
TANKSTELLE UNTERKIRNACH,1
ALB-DONAU-CENTER,1
BRZEZINA / WIECHERS DIEPHOLZ,1
BASO EXPRESS,1
FREIE TANKSTELLE AUTOFIT LAMBERT,1
FREIE TANKSTELLE ZAJELSNIK,1
FREIE TANKSTELLE KÜHLING TRANSPORTE,1
SCHORFHEIDE,1
SUPER WASH,1
REWE,1
FREIE/ESSOTANKSTELLE,1
ZANDER,1
CLEANCAR TANKAUTOMAT,1
BFT EILSLEBEN,1
RAPP - FREIE TANKSTELLE,1
TOTAL (HERM),1
SCHÄFER,1
VON BRONK,1
TANKSTELLE CUNOW MARKLOHE,1
BS TANK,1
FREIETANKSTELLE GRIESSEN,1
FREIE TANKSTELLE SAKOMAN,1
CLASSIC TANKCENTER ALBERS,1
TANKSTELLE SCHIENER GBR,1
ALBERT ZIMMERMANN GMBH,1
FREIE TANKSTELLE HÄRING,1
NEUMANN TANKSTELLE GMBH,1
