"hour","price"
0,-0.04
1,-0.04
2,-0.04
3,-0.04
4,-0.04
5,-0.04
6,0.05
7,0.1
8,0.03
9,-0.01
10,0.03
11,0.03
12,-0.01
13,0.03
14,0.03
15,0
16,0.02
17,0.02
18,-0.02
19,0
20,-0.02
21,-0.03
22,-0.03
23,-0.03
