hour,price
0,-0.37
1,-0.37
2,-0.37
3,-0.37
4,-0.37
5,-0.37
6,-0.37
7,-0.37
8,-0.37
9,-0.37
10,-0.37
11,-0.37
12,-0.11
13,-0.14
14,-0.15
15,-0.15
16,-0.16
17,-0.2
18,-0.22
19,-0.23
20,-0.23
21,-0.23
22,-0.24
23,-0.24
