hour,price
0,-0.11
1,-0.11
2,-0.11
3,-0.11
4,-0.11
5,-0.14
6,-0.14
7,-0.14
8,-0.14
9,-0.14
10,-0.14
11,-0.14
12,-0.07
13,-0.13
14,-0.15
15,-0.18
16,-0.19
17,-0.2
18,-0.2
19,-0.21
20,-0.22
21,-0.23
22,-0.24
23,-0.24
