hour,price
0,0.1
1,0.1
2,0.1
3,0.1
4,0.1
5,0.1
6,0.1
7,0.09
8,0.09
9,0.09
10,0.09
11,0.09
12,0.11
13,0.11
14,0.09
15,0.09
16,0.09
17,0.09
18,0.08
19,0.08
20,0.06
21,0.05
22,0.05
23,0.05
