hour,price
0,-0.33
1,-0.33
2,-0.33
3,-0.33
4,-0.33
5,-0.33
6,-0.33
7,-0.33
8,-0.33
9,-0.34
10,-0.34
11,-0.35
12,-0.03
13,-0.1
14,-0.18
15,-0.22
16,-0.23
17,-0.26
18,-0.26
19,-0.29
20,-0.31
21,-0.32
22,-0.32
23,-0.32
