hour,price
0,-0.09
1,-0.09
2,-0.09
3,-0.09
4,-0.09
5,-0.16
6,-0.26
7,-0.26
8,-0.43
9,-2.33
10,-0.9
11,-0.24
12,-0.81
13,-2.09
14,-2.09
15,-2.09
16,-2.09
17,-2.09
18,-2.09
19,-2.09
20,-2.09
21,-2.09
22,-2.09
23,-2.09
