hour,price
0,-0.18
1,-0.22
2,-0.25
3,-0.26
4,-0.26
5,-0.26
6,-0.26
7,-0.27
8,-0.27
9,-0.27
10,-0.28
11,-0.28
12,-0.05
13,-0.09
14,-0.12
15,-0.15
16,-0.19
17,-0.22
18,-0.26
19,-0.29
20,-0.31
21,-0.31
22,-0.31
23,-0.31
