hour,price
0,-0.09
1,-0.09
2,-0.09
3,-0.09
4,-0.09
5,-0.09
6,-0.09
7,-0.09
8,-0.12
9,-0.17
10,-0.17
11,-0.17
12,-0.01
13,0.0
14,0.0
15,0.0
16,-0.0
17,-0.02
18,-0.05
19,-0.08
20,-0.08
21,-0.08
22,-0.08
23,-0.08
